,co_code,company_name,listed,delisted,delist_date
328,14579,ANAND COTSPIN LTD.,1,1,2004-07-02
329,14582,ANAND CREDIT LTD.,1,1,2017-12-01
330,14592,ANAND PROJECTS LTD.,1,0,
331,14658,GENERA AGRI CORP LTD.,1,0,
332,14663,OZONE WORLD LTD.,1,0,
333,14801,BALAXI VENTURES LTD.,1,0,
334,14897,ANANT RAJ LTD.,1,0,
335,14902,ANANT ROTOSPIN LTD.,1,1,2016-12-13
336,14967,RAJENDRA CATERERS & CONFECTIONERS LTD.,1,0,
337,15019,ANASUYA SPINNERS LTD.,1,1,2002-10-21
338,15047,NAKSHATRA INFRASTRUCTURE LTD.,1,1,2018-07-04
339,15081,SHIKHAR LEASING & TRADING LTD.,1,0,
340,15158,ANCO COMMUNICATIONS LTD.,1,1,2005-05-30
341,15214,ANDHRA BANK,1,0,
342,15222,ANDHRA CEMENTS LTD.,1,0,
343,15246,ANDHRA PETROCHEMICALS LTD.,1,1,2002-01-19
344,15270,INTERNATIONAL PAPER A P P M LTD.,1,0,
345,15275,ANDHRA PRADESH SCOOTERS LTD.,1,1,1995-06-05
346,15290,ANDHRA PRADESH TANNERIES LTD.,1,0,
347,15302,ANDHRA SINTER LTD.,1,1,2004-04-20
348,15303,ANDHRA SUGARS LTD.,1,0,
349,15307,ANDHRA VALLEY POWER SUPPLY CO. LTD. [MERGED],1,1,2000-12-08
350,15321,ANDREW YULE & CO. LTD.,1,1,1999-11-03
351,15472,INCEPTUM ENTERPRISES LTD.,1,0,
352,15510,A I CHAMPDANY INDS. LTD.,1,1,2018-10-17
353,15564,ANIK SHIP BREAKING INDS. LTD.,1,1,2004-07-26
354,15565,ANIK STEELS LTD.,1,1,2004-04-20
355,15646,A P T PACKAGING LTD.,1,0,
356,15788,MODI NATURALS LTD.,1,0,
357,15815,SYSCHEM (INDIA) LTD.,1,0,
358,15887,ANIL LTD.,1,0,
359,16177,SHREE BHAVYA FABRICS LTD.,1,0,
360,16178,ANJANI FINANCE LTD.,1,0,
361,16191,ANJANI PORTLAND CEMENT LTD.,1,0,
362,16196,ANJANI SOLVENTS INDIA LTD.,1,1,2004-01-14
363,16198,ANJANI SYNTHETICS LTD.,1,0,
364,16279,ANKA INDIA LTD.,1,0,
365,16375,ANKIT YARNS LTD.,1,1,2004-07-02
366,16414,ADITYA INFO-SOFT LTD.,1,1,2018-03-05
367,16431,ANKUR DRUGS & PHARMA LTD.,1,1,2017-05-12
368,16490,ANKUSH FINSTOCK LTD.,1,0,
369,16496,AVIVA INDUSTRIES LTD.,1,0,
370,16523,ANMOL DAIRY LTD. [MERGED],1,1,2001-11-20
371,16528,ANMOL DRUGS & PHARMACEUTICALS LTD.,1,1,2004-04-20
372,16575,SHAILY ENGINEERING PLASTICS LTD.,1,0,
373,16590,ANNA INFRASTRUCTURES LTD.,1,0,
374,16635,SHIVA TEXYARN LTD.,1,0,
375,16670,ANNAPURNA FOILS LTD. [MERGED],1,1,2002-07-03
376,16814,ANSAL BUILDWELL LTD.,1,0,
377,16820,ANSAL HOUSING & CONSTRUCTION LTD.,1,0,
378,16823,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,1,0,
379,16893,ANSHUNI COMMERCIALS LTD.,1,0,
380,16941,ANTARCTICA LTD.,1,1,2008-04-01
381,17002,A B C BEARINGS LTD. [MERGED],1,1,2000-09-20
382,17123,AMEYA LABORATORIES LTD.,1,1,2018-05-11
383,17143,ANUBHAV INDUSTRIAL RESOURCES LTD.,1,0,
384,17200,ONESOURCE IDEAS VENTURE LTD.,1,0,
385,17203,ANUGRAHA WOOD PRODUCTS LTD.,1,1,2004-01-14
386,17206,ANUH PHARMA LTD.,1,0,
387,17272,ANUKARAN COMMERCIAL ENTERPRISES LTD.,1,0,
388,17325,ANUP MALLEABLES LTD.,1,0,
389,17445,ANUPAMA STEEL LTD.,1,1,2004-04-20
390,17591,ANUSHA INTERNATIONAL LTD.,1,1,2004-01-14
391,17638,NEO INFRACON LTD.,1,0,
392,17728,APAR INDUSTRIES LTD.,1,0,
393,17809,APCOTEX INDUSTRIES LTD.,1,0,
394,17815,INANNA FASHION & TRENDS LTD.,1,0,
395,17908,APEX HOME FINANCE LTD.,1,0,
396,17924,APEX INTERTECH LTD.,1,1,2017-08-23
397,18030,APLAB LTD.,1,0,
398,18065,ADINATH BIO-LABS LTD.,1,1,2017-03-31
399,18093,APOLLO FINVEST (INDIA) LTD.,1,0,
400,18102,APOLLO HOSPITALS ENTERPRISE LTD.,1,0,
401,18138,ADITYA BIRLA MONEY LTD.,1,0,
402,18139,APOLLO SINDOORI HOTELS LTD.,1,0,
403,18149,APOLLO TUBES & STEEL INDS. LTD.,1,1,1997-10-14
404,18151,APOLLO TYRES LTD.,1,0,
405,18214,APPLE ALLIED INDS. LTD.,1,1,2005-09-26
406,18222,ABHAYAM TRADING LTD.,1,1,2001-06-13
407,18227,APPLE FINANCE LTD.,1,1,2001-11-03
408,18287,APPOLLO STONES LTD.,1,1,2017-01-20
409,18323,EJECTA MARKETING LTD.,1,0,
410,18341,C L C GLOBAL LTD. [MERGED],1,1,2006-03-01
411,18347,APS-STAR INDUSTRIES LTD.,1,1,2017-01-20
412,18381,EMERALD LEISURES LTD.,1,0,
413,18395,HEXAWARE TECHNOLOGIES LTD.,1,0,
414,18396,APTECH LTD.,1,0,
415,18495,AQUA LOGISTICS LTD.,1,1,2018-07-02
416,18530,AQUADEV INDIA LTD.,1,1,1996-04-02
417,18544,AQUALAND (INDIA) LTD.,1,1,2010-03-31
418,18546,AQUAMARINE FOOD PRODUCTS LTD.,1,1,1997-02-17
419,18755,ARAMUSK INFRASTRUCTURE INVESTMENTS LTD.,1,1,2018-05-11
420,18815,ARAVALI (INDIA) LTD.,1,1,2004-07-02
421,18838,ARAVALI INDUSTRIES LTD.,1,1,2017-09-15
422,18850,ARAVALI SECURITIES & FINANCE LTD.,1,1,1998-12-04
423,18928,SAUMYA CAPITAL LTD.,1,0,
424,18939,ARCEE INDUSTRIES LTD.,1,0,
425,19021,ARCHANA SOFTWARE LTD.,1,1,2000-05-31
426,19063,ARCHIES LTD.,1,0,
427,19085,SHARPLINE BROADCAST LTD.,1,1,2004-07-02
428,19131,ARCO LEASING LTD.,1,0,
429,19186,ARCUTTIPORE TEA CO. LTD.,1,0,
430,19230,ARDI INVESTMENTS & TRDG. CO. LTD.,1,0,
431,19291,AREX INDUSTRIES LTD.,1,0,
432,19297,ARFIN INDIA LTD.,1,0,
433,19361,NATIONAL PLASTIC TECHNOLOGIES LTD.,1,0,
434,19377,ARHANT SUEDES LTD.,1,1,2016-12-13
435,19378,ARHAT INDUSTRIES LTD.,1,1,2016-12-13
436,19408,FINAVENTURE CAPITAL LTD.,1,1,2018-05-11
437,19420,ARIES AGRO LTD.,1,0,
438,19466,ARIHANT AGRO PRODUCTS LTD.,1,1,1995-06-05
439,19470,DISHA RESOURCES LTD.,1,0,
440,19480,ARIHANT CAPITAL MARKETS LTD.,1,0,
